编号,日期,初始版本,问题/集合,状态,Microsoft 官方回复,典型反馈,备注,图像,已修复
"LG157","4/16/2024","ALL","调整账户照片时显示 0x80070520 错误。","所做的更改","无","https://aka.ms/AAq2e61","无",,"True"
"LG156","4/14/2024","Canary 26100","切换窗口时输入法自动变化中英文。","所做的更改","无","https://aka.ms/AAq0mfy","无",,"True"
"LG155","4/14/2024","Canary 26100","无法安装 Realtek - SoftwareComponent 更新。","所做的更改","无","https://aka.ms/AApyfxg","无",,"True"
"LG154","4/12/2024","Canary 26100","连接着手柄关机时，提示 explorer.exe 内存错误。","所做的更改","无","https://aka.ms/AAq0eju","无",,"True"
"LG153","4/11/2024","Canary 26100","C:\Windows\Microsoft.NET\... 配置解析器 0x80004005 错误。","需要更多详细信息","请参照下方的步骤分享更多日志信息。","https://aka.ms/AApy7yg","步骤

1. 转到 https://aka.ms/vscollect 下载 collect.exe。
2. 此程序将创建 %TEMP%\vslogs.zip 压缩文件，包含所有 VS 和 .NET 日志。
3. 将 vslogs.zip 上传至反馈中心。
4. 将以下文件保存至 config.zip 压缩文件：
   - %windir%\Microsoft.NET\Framework\v4.0.30319\config\machine.config
   - %windir%\Microsoft.NET\Framework64\v4.0.30319\config\machine.config
   - %windir%\Microsoft.NET\Framework\v4.0.30319\config\web.config
   - %windir%\Microsoft.NET\Framework64\v4.0.30319\config\web.config
5. 将 config.zip 上传至反馈中心。
6. 请在评论中告诉我们：
   - 错误信息何时出现？
   - 错误信息与哪个应用有关？",,"False"
"LG152","4/11/2024","Canary 26100","拖动音量合成器滑块时 “快速设置” 窗口崩溃。","正在调查","无","https://aka.ms/AAq0phj","含图像","Reserved_ImageAttachment_[14]_[_x56fe__x50cf_][5]_[LG152][1]_[1].png","False"
"LG151","4/10/2024","Canary 26100","鼠标指针可能随机变大。","所做的更改","无","https://aka.ms/AApzunq","无",,"True"
"LG150","4/10/2024","Canary 26100","无法使用 PIN 登录安全模式。","正在调查","无","https://aka.ms/AApyjss","无",,"False"
"LG149","4/10/2024","Canary 26100","Windows 安全中心 “防火墙和网络保护” 页面中的图标变为方块。","正在调查","无","https://aka.ms/AApy8i2","含图像","Reserved_ImageAttachment_[14]_[_x56fe__x50cf_][5]_[LG149][1]_[1].png","False"
"LG148","4/10/2024","ALL","无法调整启动 “照片” 应用时窗口的大小。","正在调查","无","https://aka.ms/AApztdn","无",,"False"
"LG147","4/10/2024","ALL","Microsoft Family Safety 无法添加家庭组成员。","正在调查","无","https://aka.ms/AApzoge","无",,"False"
"LG146","4/10/2024","Canary 26100","无法连接蓝牙耳机 / 连接蓝牙耳机后无法播放音频。","正在调查","无","https://aka.ms/AApz29f","无",,"False"
"LG145","4/7/2024","Canary 26100","无法在 VMware Workstation 中开启 3D 加速。","正在处理","无","https://aka.ms/AApyec1","无",,"False"
"LG144","4/7/2024","Canary 26100","无法使用 Visual Studio 调试应用程序。","正在处理","无","https://aka.ms/AApyec1","无",,"False"
"LG140","4/2/2024","Canary 26090","记事本应用崩溃 / 无法关闭。","所做的更改","无","https://aka.ms/AApuzi9","无",,"True"
"LG139","4/2/2024","Canary 26090","以 “禁用驱动程序强制签名” 选项启动 Windows 时崩溃。","正在调查","无","https://aka.ms/AApv3y2","无",,"False"
"LG130","3/27/2024","Canary 26085","更新 Windows 后，已禁用的音频设备被自动启用。","所做的更改","无","https://aka.ms/AApsxmc","无",,"True"
"LG129","3/27/2024","Canary 26085","在 Microsoft Store 和 Windows 更新页面下载时显示 0x80240067 错误。","所做的更改","无","https://aka.ms/AApqooc","无",,"True"
"LG123","3/20/2024","ALL","接收不到 Build 26080+ 更新。","正在处理","我们正在调查有关部分 Insider 卡在 26040 / 23620 版本的反馈。如果您迫切期望立即回到正轨，可使用最新 ISO 全新安装 Windows，然后重新加入 Canary 或 Dev 频道。","https://aka.ms/AApjbci","无",,"False"
"LG122","3/19/2024","Canary 26080","Copilot 功能消失。","中止调查","无","https://aka.ms/AApmcet","无",,"True"
"LG116","3/15/2024","Canary 26080","电脑无法正常关机 / 睡眠。","所做的更改","不幸的是，我们看到一些反馈称 Build 26085+ 版本中仍然存在这一问题。我们正在努力修复，请暂时使用 shutdown -t 0 -s 命令关机。","https://aka.ms/AApjd80","无",,"True"
"LG111","3/10/2024","Canary 26063","任务视图卡顿或 CPU 占用率高。","正在处理","无","https://aka.ms/AAph34g","无",,"False"
"LG088","2/17/2024","ALL","无法使用截图工具对开始菜单 / 右键菜单进行截图。","搁置","无","https://aka.ms/AAp5evo","无",,"False"
"LG030","12/19/2023","Canary","在 Microsoft Store 中下载 Xbox Identity Provider 时显示 0x80073CFB 错误。","搁置","无","https://aka.ms/AAlzfg7","无",,"False"
"LG015","12/15/2023","Canary 25992","在文件资源管理器中按下两次 F11 后地址栏将被冻结。","搁置","无","https://aka.ms/AAnkkd6","无",,"False"
"LG013","12/15/2023","Canary 26002","“设置”>“应用”>“启动” 页面中的图标异常。","搁置","无","https://aka.ms/AAo5wd6","含图像","Reserved_ImageAttachment_[14]_[_x56fe__x50cf_][5]_[LG013][1]_[2].png","False"
