编号,日期,初始版本,问题/集合,状态,Microsoft 官方回复,典型反馈,备注,图像,已修复
"LG146","4/10/2024","Canary 26100","无法连接蓝牙耳机 / 连接蓝牙耳机后无法播放音频。","正在调查","<div>无</div>","https://aka.ms/AApz29f","<div>无</div>",,"False"
"LG145","4/7/2024","Canary 26100","无法在 VMware Workstation 中开启 3D 加速。","正在处理","<div>无</div>","https://aka.ms/AApyec1","<div>无</div>",,"False"
"LG144","4/7/2024","Canary 26100","无法使用 Visual Studio 调试应用程序。","正在处理","<div>无</div>","https://aka.ms/AApyec1","<div>无</div>",,"False"
"LG142","4/5/2024","Canary 26100","文件资源管理器导航窗格中的 OneDrive 随机变化位置。","正在调查","<div>无</div>","https://aka.ms/AApxwbw","<div>无</div>",,"False"
"LG140","4/2/2024","Canary 26090","记事本应用崩溃 / 无法关闭。","正在调查","<div>无</div>","https://aka.ms/AApuzi9","<div>无</div>",,"False"
"LG139","4/2/2024","Canary 26090","以 “禁用驱动程序强制签名” 选项启动 Windows 时崩溃。","正在调查","<div>无</div>","https://aka.ms/AApv3y2","<div>无</div>",,"False"
"LG130","3/27/2024","Canary 26085","更新 Windows 后，已禁用的音频设备被自动启用。","正在调查","<div>无</div>","https://aka.ms/AApsxmc","<div>无</div>",,"False"
"LG129","3/27/2024","Canary 26085","在 Microsoft Store 和 Windows 更新页面下载时显示 0x80240067 错误。","所做的更改","<div>无</div>","https://aka.ms/AApqooc","<div>无</div>",,"True"
"LG123","3/20/2024","ALL","接收不到 Build 26080+ 更新。","正在处理","<div>我们正在调查有关部分 Insider 卡在 26040 / 23620 版本的反馈。如果您迫切期望立即回到正轨，可使用最新 ISO 全新安装 Windows，然后重新加入 Canary 或 Dev 频道。</div>","https://aka.ms/AApjbci","<div>无</div>",,"False"
"LG122","3/19/2024","Canary 26080","Copilot 功能消失。","中止调查","<div>无</div>","https://aka.ms/AApmcet","<div>无</div>",,"True"
"LG116","3/15/2024","Canary 26080","电脑无法正常关机 / 睡眠。","所做的更改","<div>不幸的是，我们看到一些反馈称 Build 26085+ 版本中仍然存在这一问题。我们正在努力修复，请暂时使用 shutdown -t 0 -s 命令关机。</div>","https://aka.ms/AApjd80","<div>无</div>",,"True"
"LG111","3/10/2024","Canary 26063","任务视图卡顿或 CPU 占用率高。","正在处理","<div>无</div>","https://aka.ms/AAph34g","<div>无</div>",,"False"
"LG088","2/17/2024","ALL","无法使用截图工具对开始菜单 / 右键菜单进行截图。","搁置","<div>无</div>","https://aka.ms/AAp5evo","<div>无</div>",,"False"
"LG030","12/19/2023","Canary","在 Microsoft Store 中下载 Xbox Identity Provider 时显示 0x80073CFB 错误。","搁置","<div>无</div>","https://aka.ms/AAlzfg7","<div>无</div>",,"False"
"LG015","12/15/2023","Canary 25992","在文件资源管理器中按下两次 F11 后地址栏将被冻结。","搁置","<div>无</div>","https://aka.ms/AAnkkd6","<div>无</div>",,"False"
"LG013","12/15/2023","Canary 26002","“设置”>“应用”>“启动” 页面中的图标异常。","搁置","<div>无</div>","https://aka.ms/AAo5wd6","<div>含图像</div>","Reserved_ImageAttachment_[14]_[_x56fe__x50cf_][5]_[LG013][1]_[2].png","False"
